"player_id","HT","TC","EXP","REF","AGG","INJ"
107,1,3,5,0.36,8.61981060993156,0.602693065006457
108,1,5,10,1,3.8673122059073,0.316112876444258
109,1,2,14,0.78,-0.520729508307159,0.348186176791825
110,0,1,12,0.86,-14.3131502083132,0.367801769943898
111,1,3,3,0.64,5.53930210852342,0.551913264965631
112,0,5,9,0.05,-2.79155706025428,0.583863916165121
113,0,2,15,0.21,-3.41803756413414,0.311656474564099
114,1,3,14,0.18,6.3886672827227,0.5046273859416
115,0,2,12,0.78,-8.43000662213565,0.416546759951674
116,0,3,14,0.55,-11.9000994009456,0.343870859700898
117,0,5,12,0.48,0.623084078164871,0.533333672533643
118,1,2,12,0.73,-5.55108741621954,0.268187647342307
119,0,2,15,0.58,-9.90445483491356,0.378276750308144
120,1,3,2,0.52,9.51541943133413,0.761582732181183
121,1,2,8,0.74,6.02006956456836,0.424479302750185
122,1,4,7,0.61,6.9554819841891,0.616807039695536
123,0,2,6,0.61,-11.1137729976347,0.37310803914301
124,0,5,15,0.71,-11.7879337886959,0.356771074511942
125,1,3,3,0.03,14.7578349316251,0.665455085998949
126,0,1,3,0.38,-5.35954243202966,0.471552519674701
127,0,2,12,0.04,-3.20169489180923,0.423700993978017
128,1,4,6,0.97,-0.0816457021264263,0.383330657936034
129,1,4,7,0.47,4.36408446177514,0.348883090516514
130,1,1,14,0.84,-6.83623623522591,0.241625001002601
131,0,1,4,0.41,1.166639117843,0.63933302466642
132,0,1,1,0.45,-7.05242479370873,0.614712123130468
133,1,2,8,0.53,10.0479867428401,0.504248668973377
134,0,2,15,0.33,-8.02991164042231,0.426749011150536
135,1,1,7,0.65,0.393708120199968,0.59823867369154
136,0,2,11,0.59,-4.18938700784634,0.456613036651536
137,0,2,13,0.23,-3.30298655183367,0.725120599885355
138,1,5,14,0.55,7.25961745793321,0.703051525698697
139,1,3,14,0.03,9.46205770746155,0.548861453395965
140,0,2,8,0.78,-4.87076806171381,0.443394169828402
141,0,3,12,0.16,-4.49555854275881,0.373058640732326
142,0,3,10,0.81,-6.09407461837317,0.480950462418803
143,0,2,14,0.96,-15.3192976882567,0.0200693752924395
144,1,2,2,0.19,16.4745214473134,1
145,1,1,1,0.24,12.1226053574144,0.714594275075062
146,0,3,14,0.29,-2.65542092240383,0.561088854085665
147,0,1,6,0.24,-2.19880714500233,0.421185365395196
148,1,1,2,0.17,17.3943691825387,0.856435795922981
149,0,2,2,0.64,-1.77965104742046,0.288755386126661
150,0,4,8,0.13,0.947148843136001,0.732806573353047
151,1,3,1,0.75,6.93259658152835,0.673728669847134
152,1,1,10,0.28,3.70146975934339,0.424044368757446
153,0,2,5,0.26,-6.91668313065925,0.531212990825244
154,1,2,2,0.9,1.12756993835472,0.400911125052665
155,0,3,8,0.13,2.80999471535669,0.675139776011792
156,0,5,6,0.89,-4.04805950377525,0.436268460216564
157,0,4,14,0.75,-7.90944682384566,0.366484154158811
158,1,5,5,0.06,13.4877656519441,0.620009510275189
159,0,5,6,0.73,1.4954805686223,0.36086581526915
160,0,2,14,0.53,-7.27592175669284,0.221527869614174
161,0,2,2,0.81,-6.58126795420191,0.484708458719649
162,0,3,8,0.38,-1.1032674371391,0.520291655312682
163,0,2,9,0.01,4.5826936426092,0.762817514090521
164,1,1,13,0.74,-3.34783915638303,0.406581668232468
165,0,2,5,0.4,1.68339781599343,0.648743614137416
166,0,2,1,0.92,-5.66380857909943,0.519171244516139
167,1,4,4,0.17,13.8522792050804,0.849427435763486
168,1,1,12,0.26,3.85693857322392,0.586856135500576
169,0,4,4,0.48,2.5778690052347,0.558931744953782
170,0,0,7,0.92,-13.3878437472108,0.223480803114349
171,1,5,3,0.76,10.5968597758739,0.759187480125302
172,1,4,15,0.64,4.18276877235055,0.490413015494969
173,0,2,2,0.75,-4.69519446499224,0.364679756101145
174,0,2,12,0.14,-1.04497793665259,0.451554939583885
175,0,1,1,0.5,-3.79566470365634,0.498271276649371
176,1,4,10,0.46,7.1845848204459,0.513325574333246
177,1,2,14,0.54,-1.07186416123671,0.460976532532386
178,1,0,14,0.13,0.95771140439226,0.355524596489538
179,0,3,13,0.26,-1.54708904628179,0.405051040116925
180,0,0,15,0.65,-14.3095635059557,0.20065179655258
181,1,1,2,0.76,7.50014750271559,0.58662294352335
182,0,3,3,0.01,3.81154705841848,0.607979695898163
183,1,4,11,0.37,12.3229462774056,0.746788586888574
184,1,2,3,0.7,5.55632794707101,0.578889816341824
185,1,4,10,0.2,11.0961911313887,0.802743109597783
186,1,2,2,0.02,16.8342412843662,0.84551606233992
187,0,3,6,0.04,8.4711982229146,0.691523039754134
188,1,4,15,0.33,4.84195527833844,0.438103041850164
189,1,1,14,0.82,-2.99029604620673,0.152673813245657
190,1,3,3,0.65,4.90100020941312,0.654155342953615
191,0,2,8,0.19,-0.69889571756103,0.724000889466492
192,1,2,8,0.09,6.45198121539972,0.807174822110867
193,1,3,4,0.03,9.80014709887657,0.654268638391874
194,1,3,14,0.97,-5.0629940248395,0.241667521977954
195,0,2,6,0.11,0.813925011799757,0.825910880335557
196,0,4,13,0.37,4.09051457449495,0.632623582842733
197,0,3,2,0.81,-5.10618133147448,0.246293205903378
198,1,2,12,0.09,8.61458016240318,0.581015335307114
199,0,5,7,0.4,2.77035899487082,0.361182597210743
200,1,0,15,0.82,-4.19781962250583,0.41200277545501
201,1,1,9,0.84,-4.12811532839912,0.180073488822686
202,1,1,7,0.63,-0.0217942771482122,0.601122760466979
203,1,2,4,0.71,6.00574097132301,0.525842577257452
204,1,2,9,0.84,-2.48495117811795,0.131050528427716
205,1,1,15,0.18,1.67500318449516,0.289126246608823
206,0,5,15,0.42,-7.36120026627868,0.449034793130133
207,0,1,10,0.5,-9.64151034391788,0.382665911895067
208,1,2,11,0.63,4.05136798126069,0.292976963370269
209,1,5,2,0.55,20.1502247307453,0.914337637121846
210,1,3,12,0.88,1.23876696583954,0.449962952194301
211,1,5,14,0.24,3.32460677291901,0.614735076433419
212,1,2,4,0.1,14.1759666013407,0.961335277002137
213,1,5,5,0.08,14.0130332239951,0.764417527000468
214,0,2,11,0.79,-12.5584118664657,0.2659499218284
215,1,5,7,0.58,12.7536691306499,0.75281284842421
216,1,0,4,0.85,2.42822007802412,0.589410472384992
217,1,4,15,0.77,3.63082207500026,0.441302112464558
218,1,0,3,0.72,-1.98116886809999,0.443204436161968
219,1,3,14,0.47,3.83006605820574,0.523007001607032
220,0,3,3,0.66,-3.33835342920027,0.510043390104303
221,0,4,8,0.64,-3.67188870199074,0.253241526613389
222,1,1,7,0.48,5.16991916766929,0.556763451409671
223,1,1,8,0.81,-5.33097848189079,0.312102648854331
224,1,5,9,0.16,17.7864454590366,0.69660958893478
225,1,2,3,0.76,6.68571446875702,0.537559368456672
226,0,5,13,0.07,1.94248324234812,0.605548500266928
227,0,2,2,0.93,-4.70968283067225,0.359375472210752
228,1,3,2,0.23,11.9826846512024,0.627318760310127
229,1,3,8,0.77,2.33640641584019,0.66100841680414
230,0,0,7,0.63,-10.6632648074859,0.391802632251332
231,1,0,6,0.73,-6.60846897012677,0.306091873001561
232,1,2,13,0.77,4.1618399963739,0.362993480471165
233,1,3,3,0.45,11.1983913796328,0.542110225154438
234,0,3,8,0.9,-4.38723885524348,0.47319763827588
235,1,5,14,0.42,10.7508525554573,0.705456009055665
236,1,4,9,0.44,9.27749594588894,0.707155395144266
237,1,2,7,0.7,0.872693924730154,0.619437062592917
238,1,4,3,0.3,19.2607530236816,0.941289583806492
239,0,2,15,0.83,-14.8494294294794,0.156683328836758
240,1,3,2,0.5,8.35918459645306,0.843459197351091
241,0,3,4,0.61,0.291174640783963,0.600330378600726
242,1,5,11,0.73,4.97909840998745,0.499998721068837
243,1,2,14,0.26,3.26455615846767,0.746722443831865
244,1,3,4,0.49,10.3798970914603,0.373900523884627
245,1,3,5,0.34,11.8097818884276,0.888884284045222
246,1,5,9,0.71,10.7964600441881,0.683390627181623
247,0,3,1,0.33,2.94274651638208,0.632249605386082
248,0,4,3,0.93,2.75303518874969,0.562089319868182
249,1,4,11,0.88,2.79526955325104,0.406153749268331
250,0,2,7,0.41,-4.04801775582873,0.646048443725643
251,1,2,4,0.67,1.38879874032472,0.548902006584925
252,1,2,1,0.13,12.3502585277852,0.739591603057041
253,0,2,7,0.49,-4.0491109115626,0.418939433155077
254,1,1,15,0.57,-8.26557053408294,0.323681096353202
255,1,4,11,0.09,14.0099040704914,0.964400275126905
256,0,1,10,0.34,-7.22863532145894,0.360888543902132
257,1,3,13,0.61,0.104843919561563,0.412744635439716
258,1,3,7,0.93,-1.7864650752306,0.0632798263722745
259,1,0,6,0.16,4.66063341726162,0.755221051086352
260,1,0,6,0.15,3.82942477889493,0.594816114857385
261,0,0,2,0.48,1.47031585536641,0.670550046422613
262,1,2,5,0.14,9.50729653799003,0.934324161942819
263,1,2,7,0.93,2.43336954980328,0.335799460960878
264,1,3,8,0.03,14.5356669562038,0.656848876697263
265,1,4,12,0.02,14.1764513305748,0.712336158884498
266,0,3,6,0.77,-7.33531663773542,0.4352944541646
267,0,4,14,0.16,-5.14307997966101,0.394146969500761
268,1,4,14,0.76,0.157055495601908,0.460257192658663
269,1,5,10,0.74,4.95904267282358,0.394941812443061
270,0,2,7,0.49,-4.85679384065915,0.403809185836848
271,0,2,7,0.98,-8.99756059759428,0.388680297038979
272,0,0,13,0.79,-14.578220442434,0.304809783326761
273,1,2,4,0.93,-0.402824284395281,0.582559384459109
274,1,3,4,0.17,13.7732734685546,0.755069977486804
275,0,4,4,0.57,2.36047937508419,0.54859526119898
276,1,2,14,0.34,5.78233347887593,0.619255826113908
277,1,3,5,0.6,6.57373264695372,0.500891029223292
278,0,4,7,0.49,2.58707919040693,0.696612831181068
279,0,3,9,0.7,-6.58742620405244,0.296436748277404
280,0,1,9,0.07,-2.09965604062681,0.605659174778167
281,1,0,9,0.71,-1.06888637506834,0.515736919613276
282,1,1,11,0.4,0.950483278525232,0.402733901460563
283,0,2,2,1,-5.23135837918317,0.571598389143861
284,0,5,6,0.15,4.50773173086769,0.788658640710344
285,1,3,3,0.44,4.86346166336735,0.677734140010333
286,1,3,8,0.63,7.17913295648438,0.480619124731198
287,1,4,11,0.76,1.48747325526813,0.416000552089662
288,1,0,3,0.11,8.82028564667919,0.799046308104498
289,0,2,14,0.08,-3.63200302326724,0.553599472199643
290,1,0,9,0.24,8.50777706370975,0.687120458171051
291,1,5,9,0.51,12.784571032021,0.474304621754177
292,1,1,3,0.01,11.8357404220795,0.516667813994091
293,0,2,4,0.48,-2.8665458059486,0.549250284551678
294,1,3,10,0.26,5.60386017128054,0.576684037456235
295,1,3,8,0.17,9.20014977565496,0.805565345178263
296,1,3,14,0.6,1.36749627977682,0.426930035265028
297,0,2,12,0.89,-9.34439979803737,0.30371838739591
298,0,2,12,0.19,-3.61700556987769,0.688582938724754
299,1,5,9,0.67,8.86613525729674,0.76586660987585
300,0,4,2,0.7,2.08230046018813,0.502045945357233
