id,date,problem,race,gender,location,precinct
17-036557,2017-02-01T03:58:42Z,traffic,White,Male,44.99870889 -93.25820923,2
17-036560,2017-02-01T04:00:46Z,traffic,Black,Male,45.01316 -93.24912,2
17-036565,2017-02-01T04:05:43Z,traffic,East African,Male,44.95074 -93.27791,5
17-036578,2017-02-01T04:14:34Z,traffic,Other,Male,44.94749723 -93.27537786,5
17-036587,2017-02-01T04:18:59Z,traffic,,,44.95195 -93.27535,5
17-036591,2017-02-01T04:20:24Z,traffic,,,44.96574698 -93.27403148,5
17-036598,2017-02-01T04:25:18Z,traffic,,,44.96662 -93.24725,1
17-036616,2017-02-01T04:35:56Z,suspicious,Unknown,Unknown,44.97432 -93.27831,1
17-036626,2017-02-01T04:42:12Z,traffic,,,44.94746485 -93.27969498,5
17-036632,2017-02-01T04:47:27Z,traffic,White,Female,44.9859863 -93.25547157,2
17-036635,2017-02-01T04:49:18Z,suspicious,White,Female,45.00172 -93.23717,2
17-036637,2017-02-01T04:51:29Z,suspicious,Black,Male,44.96271307 -93.25892584,3
17-036663,2017-02-01T05:18:56Z,traffic,,,44.96806 -93.27782,1
17-036664,2017-02-01T05:22:00Z,suspicious,Black,Male,45.03151 -93.28937,4
17-036668,2017-02-01T05:26:38Z,traffic,Other,Male,44.99998443 -93.23663111,2
17-036680,2017-02-01T05:34:52Z,traffic,,,44.98153641 -93.23677981,2
17-036681,2017-02-01T05:35:49Z,traffic,Black,Female,45.00593 -93.24737,2
17-036689,2017-02-01T05:37:15Z,traffic,White,Male,44.94837 -93.25378,3
17-036696,2017-02-01T05:39:36Z,suspicious,,,44.96269 -93.27275,5
17-036697,2017-02-01T05:43:28Z,suspicious,,,44.9314214 -93.24353384,3
17-036704,2017-02-01T05:49:03Z,traffic,White,Male,44.98943199 -93.25274758,2
17-036719,2017-02-01T06:07:53Z,traffic,Latino,Male,45.02030762 -93.2886671,4
17-036722,2017-02-01T06:13:52Z,traffic,Black,Female,45.01196201 -93.27655788,4
17-036734,2017-02-01T06:35:32Z,traffic,Black,Male,45.01316173 -93.2516688,2
17-036760,2017-02-01T07:18:35Z,traffic,Latino,Male,44.96141336 -93.29235956,5
17-036764,2017-02-01T07:25:27Z,traffic,Unknown,Unknown,44.93407 -93.28824,5
17-036765,2017-02-01T07:28:12Z,suspicious,Unknown,Unknown,45.01267807 -93.24224163,2
17-036766,2017-02-01T07:29:08Z,traffic,Black,Female,44.94835457 -93.28218485,5
17-036770,2017-02-01T07:33:49Z,traffic,Black,Male,44.94835 -93.27668,5
17-036785,2017-02-01T07:57:56Z,traffic,Black,Male,45.01131 -93.28801,4
17-036787,2017-02-01T07:59:24Z,traffic,Black,Male,45.01316443 -93.265422,2
17-036789,2017-02-01T08:01:33Z,suspicious,Black,Male,44.95463819 -93.27964542,5
17-036791,2017-02-01T08:03:54Z,suspicious,Native American,Male,45.01267807 -93.24224163,2
17-036793,2017-02-01T08:05:49Z,traffic,Black,Female,45.00024 -93.28952,4
17-036798,2017-02-01T08:10:03Z,traffic,Black,Male,45.02861109 -93.30842295,4
17-036800,2017-02-01T08:13:19Z,traffic,White,Female,45.01316644 -93.26234075,2
17-036806,2017-02-01T08:19:12Z,traffic,Black,Male,44.99976 -93.30317,4
17-036811,2017-02-01T08:22:50Z,suspicious,Unknown,Unknown,45.02313083 -93.30196157,4
17-036820,2017-02-01T08:47:59Z,traffic,Black,Male,44.94834704 -93.27880784,5
17-036830,2017-02-01T09:20:46Z,traffic,Unknown,Male,44.99914 -93.28799,4
17-036832,2017-02-01T09:23:25Z,traffic,Black,Male,44.98969 -93.30447,4
17-036834,2017-02-01T09:25:55Z,suspicious,Unknown,Unknown,44.99329 -93.23331,2
17-036839,2017-02-01T09:53:32Z,suspicious,Unknown,Male,44.972894 -93.27369104,1
17-036890,2017-02-01T12:01:40Z,suspicious,Black,Male,45.00746 -93.2631,2
17-036911,2017-02-01T13:04:12Z,suspicious,Unknown,Unknown,45.03232639 -93.24475515,2
17-036936,2017-02-01T14:06:05Z,traffic,Black,Male,45.01586846 -93.24734023,2
17-036939,2017-02-01T14:08:21Z,suspicious,Black,Male,44.90899 -93.22286,3
17-036951,2017-02-01T14:37:36Z,traffic,,,44.99948 -93.30192,4
17-036952,2017-02-01T14:40:06Z,suspicious,Asian,Male,44.95194 -93.27661,5
17-036953,2017-02-01T14:40:17Z,suspicious,Unknown,Unknown,45.0231841 -93.31213496,4
17-036962,2017-02-01T14:48:14Z,traffic,,,44.99876 -93.30821,4
17-036970,2017-02-01T15:04:47Z,traffic,White,Male,44.96161197 -93.30921858,5
17-036973,2017-02-01T15:16:12Z,traffic,White,Male,44.96243933 -93.31138906,5
17-036979,2017-02-01T15:21:08Z,traffic,White,Male,44.96128029 -93.31206757,5
17-036982,2017-02-01T15:25:05Z,traffic,Other,Male,44.96079217 -93.31085119,5
17-036988,2017-02-01T15:37:01Z,suspicious,Other,Unknown,44.9987799999999 -93.30949,4
17-036993,2017-02-01T15:40:47Z,traffic,White,Female,44.96161197 -93.30921858,5
17-037003,2017-02-01T15:47:45Z,suspicious,Black,Male,44.96332221 -93.27148389,5
17-037004,2017-02-01T15:48:47Z,traffic,White,Male,44.96141588 -93.31066853,5
17-037008,2017-02-01T15:54:37Z,traffic,White,Male,44.96141588 -93.31066853,5
17-037011,2017-02-01T15:57:22Z,traffic,White,Male,44.96141588 -93.31066853,5
17-037014,2017-02-01T16:01:15Z,suspicious,Unknown,Unknown,45.01406161 -93.2968501,4
17-037015,2017-02-01T16:01:27Z,traffic,White,Male,44.96269 -93.27656,5
17-037025,2017-02-01T16:06:52Z,traffic,White,Male,44.96243933 -93.31138906,5
17-037041,2017-02-01T16:18:44Z,traffic,White,Female,44.96141588 -93.31066853,5
17-037056,2017-02-01T16:31:18Z,traffic,White,Male,44.96079217 -93.31085119,5
17-037059,2017-02-01T16:32:45Z,traffic,White,Female,44.96079217 -93.31085119,5
17-037063,2017-02-01T16:36:39Z,traffic,Black,Male,44.9877789 -93.28869844,1
17-037067,2017-02-01T16:39:07Z,traffic,White,Male,45.00597 -93.29807,4
17-037069,2017-02-01T16:41:08Z,traffic,White,Female,44.9966027 -93.28348839,4
17-037070,2017-02-01T16:42:15Z,traffic,,,44.96773381 -93.28789232,5
17-037072,2017-02-01T16:43:00Z,traffic,White,Male,44.96484327 -93.2837901,1
17-037073,2017-02-01T16:43:01Z,traffic,White,Male,44.96079217 -93.31085119,5
17-037081,2017-02-01T16:48:46Z,traffic,Black,Male,45.00595 -93.29417,4
17-037088,2017-02-01T16:53:19Z,suspicious,White,Female,44.96180077 -93.2778187,5
17-037096,2017-02-01T16:58:24Z,traffic,Other,Male,44.96141588 -93.31066853,5
17-037103,2017-02-01T17:04:15Z,suspicious,Unknown,Unknown,44.95645889 -93.23773889,3
17-037102,2017-02-01T17:04:16Z,suspicious,Unknown,Unknown,44.99916 -93.29564,4
17-037111,2017-02-01T17:14:40Z,traffic,White,Male,44.94960945 -93.29827352,5
17-037116,2017-02-01T17:23:14Z,traffic,Black,Female,44.9879 -93.30574,4
17-037125,2017-02-01T17:30:33Z,traffic,Black,Female,45.01313108 -93.29369781,4
17-037130,2017-02-01T17:34:39Z,traffic,Black,Male,45.01317 -93.29812,4
17-037136,2017-02-01T17:39:51Z,traffic,Black,Female,45.0114416 -93.31398254,4
17-037140,2017-02-01T17:42:42Z,traffic,Black,Female,45.01681 -93.30318,4
17-037152,2017-02-01T17:53:07Z,suspicious,Native American,Female,44.94835544 -93.28365334,5
17-037164,2017-02-01T18:00:24Z,traffic,Black,Male,45.010505 -93.30317232,4
17-037166,2017-02-01T18:03:20Z,traffic,White,Female,44.8978391 -93.28957555,5
17-037167,2017-02-01T18:03:52Z,traffic,Black,Female,45.01266624 -93.24912093,2
17-037168,2017-02-01T18:04:34Z,traffic,Black,Male,45.02128822 -93.29811429,4
17-037170,2017-02-01T18:08:58Z,suspicious,,,44.97543284 -93.27342211,1
17-037173,2017-02-01T18:14:40Z,traffic,Black,Male,45.02399 -93.29564,4
17-037179,2017-02-01T18:20:10Z,suspicious,Black,Male,44.96269 -93.27781,5
17-037185,2017-02-01T18:22:47Z,traffic,Black,Male,45.01768092 -93.29810749,4
17-037193,2017-02-01T18:32:05Z,traffic,Black,Male,45.00148 -93.28648,4
17-037194,2017-02-01T18:34:10Z,suspicious,White,Female,44.90058834 -93.28064741,5
17-037201,2017-02-01T18:39:09Z,traffic,White,Male,45.00596 -93.29683,4
17-037218,2017-02-01T18:47:01Z,traffic,Black,Male,45.00599 -93.30189,4
17-037222,2017-02-01T18:50:20Z,traffic,Black,Male,44.98943199 -93.25274758,2
17-037229,2017-02-01T18:56:39Z,traffic,White,Female,45.0031 -93.30514,4
17-037233,2017-02-01T18:59:10Z,suspicious,,,44.97563254 -93.27237593,1
17-037242,2017-02-01T19:04:37Z,traffic,Other,Male,44.94901338 -93.30649426,5
17-037251,2017-02-01T19:13:12Z,traffic,Black,Male,45.00149 -93.28494,4
17-037252,2017-02-01T19:15:43Z,suspicious,Native American,Female,44.95913 -93.25495,3
17-037254,2017-02-01T19:16:14Z,traffic,Black,Male,44.95553 -93.26767,3
17-037267,2017-02-01T19:25:57Z,suspicious,,,45.02137101 -93.3108262,4
17-037270,2017-02-01T19:28:38Z,suspicious,,,44.97736687 -93.2717965,1
17-037271,2017-02-01T19:30:39Z,traffic,White,Male,45.01585987 -93.26543964,2
17-037281,2017-02-01T19:42:04Z,suspicious,Unknown,Unknown,44.9438377 -93.24230838,3
17-037279,2017-02-01T19:42:15Z,suspicious,White,Male,44.93321267 -93.23465197,3
17-037304,2017-02-01T20:06:29Z,suspicious,,,45.04300202 -93.28757164,4
17-037320,2017-02-01T20:29:16Z,suspicious,,,45.01855 -93.29433,4
17-037338,2017-02-01T20:43:23Z,traffic,Black,Female,45.02144319 -93.28200276,4
17-037366,2017-02-01T21:06:17Z,suspicious,Unknown,Unknown,44.99913768 -93.28875577,4
17-037392,2017-02-01T21:29:57Z,traffic,Black,Female,45.00424728 -93.28951892,4
17-037417,2017-02-01T21:48:33Z,suspicious,Unknown,Unknown,44.97798 -93.2748,1
17-037478,2017-02-01T22:56:49Z,suspicious,,,44.97592 -93.27306,1
17-037481,2017-02-01T22:59:28Z,traffic,Black,Female,44.99306 -93.29411,4
17-037482,2017-02-01T23:00:26Z,traffic,Asian,Male,44.96180077 -93.2778187,5
17-037497,2017-02-01T23:16:08Z,suspicious,,,44.97845913 -93.27733144,1
17-037508,2017-02-01T23:25:53Z,traffic,Other,Male,44.91609 -93.24605,3
17-037518,2017-02-01T23:30:29Z,traffic,White,Male,44.95553 -93.27964,5
17-037525,2017-02-01T23:42:31Z,suspicious,White,Male,44.94954085 -93.27968211,5
17-037527,2017-02-01T23:43:16Z,traffic,White,Male,44.89786467 -93.27873762,5
17-037543,2017-02-01T23:53:44Z,traffic,Black,Female,45.01314 -93.29162,4
17-037565,2017-02-02T00:19:21Z,traffic,Black,Female,45.01492 -93.29054,4
17-037567,2017-02-02T00:19:45Z,traffic,White,Female,44.9987036 -93.24544371,2
17-037579,2017-02-02T00:28:27Z,traffic,Black,Male,45.01356972 -93.3095168,4
17-037581,2017-02-02T00:29:37Z,suspicious,Unknown,Unknown,44.94955167 -93.28134598,5
17-037590,2017-02-02T00:33:23Z,suspicious,Latino,Unknown,44.94954814 -93.28300416,5
17-037596,2017-02-02T00:36:57Z,traffic,Latino,Male,44.95134737 -93.28133076,5
17-037602,2017-02-02T00:41:38Z,traffic,White,Male,44.95554 -93.27787,5
17-037606,2017-02-02T00:44:46Z,suspicious,White,Male,44.95463336 -93.25498841,3
17-037617,2017-02-02T00:54:49Z,traffic,Black,Female,44.94926 -93.3021,5
17-037622,2017-02-02T00:58:31Z,traffic,,,44.93145833 -93.22194877,3
17-037641,2017-02-02T01:09:55Z,suspicious,White,Male,44.96799446 -93.28398089,1
17-037642,2017-02-02T01:11:20Z,traffic,Black,Male,44.99551329 -93.24733534,2
17-037651,2017-02-02T01:20:08Z,traffic,White,Male,44.95032085 -93.29244736,5
17-037652,2017-02-02T01:20:22Z,traffic,White,Male,45.01327 -93.30824,4
17-037678,2017-02-02T01:46:35Z,traffic,East African,Male,44.9819 -93.23284,2
17-037702,2017-02-02T01:58:03Z,traffic,Native American,Female,44.98608 -93.30575,4
17-037704,2017-02-02T01:58:13Z,suspicious,Unknown,Unknown,45.00639928 -93.25604036,2
17-037712,2017-02-02T02:07:18Z,suspicious,Unknown,Unknown,44.96750468 -93.29218831,5
17-037716,2017-02-02T02:12:18Z,suspicious,Other,Unknown,45.0058149 -93.25755429,2
17-037729,2017-02-02T02:24:48Z,suspicious,Unknown,Unknown,45.00513252 -93.31589695,4
17-037756,2017-02-02T02:42:49Z,traffic,Black,Female,44.96522 -93.27276,5
17-037762,2017-02-02T02:49:12Z,traffic,,,44.9277774 -93.2779277,5
17-037773,2017-02-02T02:56:21Z,suspicious,Unknown,Unknown,44.98699004 -93.30701302,4
17-037792,2017-02-02T03:13:03Z,traffic,White,Female,44.93049 -93.27792,5
17-037809,2017-02-02T03:24:02Z,traffic,White,Male,44.95099896 -93.2880785,5
17-037823,2017-02-02T03:31:22Z,traffic,East African,Male,44.95915 -93.27785,5
17-037826,2017-02-02T03:32:57Z,traffic,White,Female,44.9377 -93.28949,5
17-037842,2017-02-02T03:49:23Z,suspicious,White,Male,45.03339 -93.31236,4
17-037852,2017-02-02T03:58:39Z,suspicious,Unknown,Unknown,44.9653941 -93.23592303,1
17-037857,2017-02-02T04:01:09Z,traffic,Black,Male,44.99305 -93.28799,4
17-037869,2017-02-02T04:14:04Z,suspicious,Unknown,Unknown,44.93864964 -93.22894123,3
17-037881,2017-02-02T04:25:41Z,traffic,Black,Male,44.99790677 -93.31461932,4
17-037896,2017-02-02T04:33:57Z,traffic,Black,Male,45.00591 -93.28799,4
17-037898,2017-02-02T04:34:22Z,suspicious,Black,Male,45.014097 -93.30064649,4
17-037913,2017-02-02T04:44:59Z,traffic,Black,Female,45.01316 -93.25244,2
17-037921,2017-02-02T04:49:29Z,traffic,Black,Male,44.9987 -93.26593,2
17-037929,2017-02-02T04:53:32Z,traffic,Asian,Male,45.01956023 -93.30826503,4
17-037933,2017-02-02T04:55:52Z,traffic,White,Male,45.03132 -93.30848,4
17-037936,2017-02-02T04:58:13Z,traffic,Black,Male,44.97978 -93.30631,4
17-037943,2017-02-02T05:02:31Z,traffic,Black,Male,45.00792 -93.24737,2
17-037953,2017-02-02T05:08:16Z,traffic,Unknown,Male,45.01217266 -93.24823633,2
17-037955,2017-02-02T05:11:13Z,suspicious,Native American,Male,44.95823569 -93.25239248,3
17-037956,2017-02-02T05:11:54Z,traffic,Black,Male,45.01316755 -93.26388946,2
17-037958,2017-02-02T05:14:58Z,suspicious,Unknown,Unknown,44.90173 -93.22724,3
17-037967,2017-02-02T05:21:40Z,suspicious,East African,Male,44.9483642 -93.29001302,5
17-037985,2017-02-02T05:38:39Z,suspicious,Unknown,Unknown,44.98775902 -93.24752259,2
17-037993,2017-02-02T05:43:59Z,suspicious,,,44.94926 -93.29828,5
17-037995,2017-02-02T05:45:48Z,suspicious,,,44.94926 -93.29828,5
17-038009,2017-02-02T05:59:05Z,traffic,Black,Male,44.98153641 -93.23677981,2
17-038012,2017-02-02T05:59:46Z,traffic,Black,Female,44.98789 -93.30323,4
17-038027,2017-02-02T06:13:35Z,traffic,White,Female,44.99005825 -93.24682277,2
17-038064,2017-02-02T07:08:05Z,suspicious,Black,Male,45.00591 -93.28799,4
17-038085,2017-02-02T07:21:19Z,suspicious,Latino,Male,44.94883941 -93.26140535,3
17-038113,2017-02-02T07:57:35Z,suspicious,East African,Female,44.96093 -93.24984,3
17-038117,2017-02-02T07:59:09Z,traffic,Black,Female,45.02038 -93.24727,2
17-038128,2017-02-02T08:09:24Z,traffic,East African,Male,45.00598 -93.30062,4
17-038133,2017-02-02T08:14:51Z,suspicious,White,Female,45.00779037 -93.28340583,4
17-038135,2017-02-02T08:16:23Z,traffic,East African,Male,44.97223 -93.27056,1
17-038140,2017-02-02T08:19:38Z,traffic,White,Male,44.95194715 -93.28362149,5
17-038148,2017-02-02T08:29:07Z,traffic,East African,Male,44.98045 -93.27134,1
17-038152,2017-02-02T08:31:40Z,traffic,Black,Male,45.01316 -93.24734,2
17-038153,2017-02-02T08:31:46Z,traffic,Unknown,Male,44.9800647 -93.27188308,1
17-038156,2017-02-02T08:35:22Z,suspicious,Black,Male,44.97802 -93.27703,1
17-038172,2017-02-02T08:54:58Z,suspicious,Black,Male,44.97845913 -93.27733144,1
17-038173,2017-02-02T08:55:40Z,traffic,,,44.96757914 -93.27184922,1
17-038174,2017-02-02T08:59:06Z,suspicious,Black,Female,44.99828085 -93.29411491,4
17-038176,2017-02-02T09:00:56Z,traffic,,,44.96269 -93.26766,3
17-038181,2017-02-02T09:07:15Z,suspicious,Black,Male,44.97845913 -93.27733144,1
17-038182,2017-02-02T09:07:40Z,suspicious,Black,Male,44.9915 -93.30195,4
17-038185,2017-02-02T09:12:20Z,suspicious,Other,Female,45.01400771 -93.28928446,4
17-038192,2017-02-02T09:34:14Z,suspicious,Black,Female,44.9879 -93.30574,4
17-038202,2017-02-02T09:57:14Z,traffic,,,44.99873 -93.2994,4
17-038206,2017-02-02T10:14:02Z,traffic,Black,Male,45.0096 -93.3019,4
17-038214,2017-02-02T10:43:13Z,suspicious,Black,Male,44.97553894 -93.24474317,1
17-038227,2017-02-02T11:19:32Z,suspicious,Black,Male,44.98643369 -93.28941099,4
17-038239,2017-02-02T11:50:24Z,suspicious,Unknown,Unknown,44.96003306 -93.25111591,3
17-038244,2017-02-02T12:08:14Z,suspicious,Unknown,Unknown,44.95429631 -93.23859493,3
17-038250,2017-02-02T13:05:09Z,suspicious,Unknown,Male,45.03232639 -93.24475515,2
17-038263,2017-02-02T13:33:11Z,suspicious,,,44.97553894 -93.24474317,1
17-038295,2017-02-02T14:25:26Z,traffic,White,Female,44.98110811 -93.23893254,2
17-038304,2017-02-02T14:32:07Z,suspicious,Unknown,Male,45.00593 -93.24737,2
17-038316,2017-02-02T14:56:02Z,suspicious,,,44.97606037 -93.27488495,1
17-038330,2017-02-02T15:16:20Z,suspicious,,,45.01504 -93.30698,4
17-038331,2017-02-02T15:19:54Z,traffic,,,45.00776 -93.29683,4
17-038332,2017-02-02T15:22:47Z,suspicious,Latino,Male,44.96558156 -93.26719235,3
17-038351,2017-02-02T16:03:01Z,traffic,Other,Unknown,44.97601046 -93.26558646,1
17-038367,2017-02-02T16:31:57Z,traffic,,,44.98784 -93.23331,2
17-038368,2017-02-02T16:33:35Z,suspicious,Unknown,Unknown,44.89046025 -93.28200697,5
17-038371,2017-02-02T16:37:08Z,suspicious,Unknown,Unknown,44.89046025 -93.28200697,5
17-038372,2017-02-02T16:37:30Z,traffic,,,44.99632 -93.29717,4
17-038383,2017-02-02T17:02:12Z,traffic,White,Male,44.98728387 -93.25444833,2
17-038399,2017-02-02T17:13:47Z,traffic,Black,Male,44.9915 -93.29945,4
17-038428,2017-02-02T17:36:07Z,traffic,Black,Female,44.9915 -93.29945,4
17-038446,2017-02-02T18:01:23Z,suspicious,,,44.98702994 -93.24246064,2
17-038455,2017-02-02T18:13:24Z,traffic,,,44.99915 -93.29412,4
17-038483,2017-02-02T18:40:11Z,suspicious,Other,Unknown,44.9987298 -93.29828523,4
17-038495,2017-02-02T18:54:45Z,traffic,White,Male,44.95196 -93.24112,3
17-038496,2017-02-02T18:54:46Z,suspicious,Unknown,Unknown,45.03760238 -93.29012629,4
17-038505,2017-02-02T19:04:59Z,traffic,Black,Female,45.00951 -93.288,4
17-038540,2017-02-02T19:27:46Z,traffic,White,Male,44.94660282 -93.28219879,5
17-038542,2017-02-02T19:28:54Z,suspicious,White,Male,44.9474742 -93.29829195,5
17-038579,2017-02-02T20:05:29Z,traffic,East African,Male,44.94926366 -93.23474188,3
17-038611,2017-02-02T20:34:29Z,traffic,White,Male,45.00302834 -93.23717856,2
17-038612,2017-02-02T20:35:31Z,traffic,Black,Female,45.00938986 -93.24736666,2
17-038613,2017-02-02T20:35:38Z,traffic,White,Female,44.90146 -93.2883,5
17-038631,2017-02-02T20:53:14Z,suspicious,,,44.97845913 -93.27733144,1
17-038635,2017-02-02T20:56:27Z,traffic,East African,Male,44.99523 -93.29411,4
17-038636,2017-02-02T20:57:21Z,suspicious,Black,Male,44.982576 -93.26841736,1
17-038643,2017-02-02T21:01:56Z,suspicious,Native American,Male,44.95554 -93.24736,3
17-038648,2017-02-02T21:03:58Z,traffic,,,44.9897 -93.30825,4
17-038655,2017-02-02T21:08:10Z,traffic,,,45.00592 -93.24612,2
17-038656,2017-02-02T21:08:25Z,suspicious,Unknown,Male,45.00783 -93.3134,4
17-038663,2017-02-02T21:14:26Z,suspicious,Unknown,Unknown,45.03439343 -93.29704572,4
17-038665,2017-02-02T21:15:34Z,traffic,White,Male,45.00596 -93.23973,2
17-038673,2017-02-02T21:22:11Z,traffic,White,Female,45.00148 -93.28181,4
17-038675,2017-02-02T21:23:17Z,traffic,Black,Male,45.01858332 -93.24734345,2
17-038759,2017-02-02T22:30:22Z,suspicious,White,Male,44.96496986 -93.23492152,1
17-038764,2017-02-02T22:32:41Z,suspicious,Black,Male,45.01945196 -93.29432869,4
17-038766,2017-02-02T22:34:30Z,suspicious,White,Male,45.00957 -93.24226,2
17-038793,2017-02-02T22:58:13Z,suspicious,Black,Female,44.96271 -93.25966,3
17-038804,2017-02-02T23:07:08Z,suspicious,Unknown,Male,44.94836976 -93.23685477,3
17-038813,2017-02-02T23:11:38Z,suspicious,East African,Male,44.96986308 -93.28008046,1
17-038857,2017-02-02T23:43:30Z,traffic,,,45.00059 -93.21147,2
17-038892,2017-02-03T00:15:09Z,traffic,White,Female,44.95633529 -93.3122388,5
17-038893,2017-02-03T00:15:11Z,suspicious,White,Male,44.91521 -93.23348573,3
17-038931,2017-02-03T00:50:22Z,traffic,White,Female,44.97429462 -93.27996035,1
17-038950,2017-02-03T01:08:38Z,traffic,White,Male,45.00515241 -93.23662585,2
17-038964,2017-02-03T01:14:55Z,suspicious,Black,Female,44.9922826 -93.3006896,4
17-038971,2017-02-03T01:22:17Z,traffic,Unknown,Female,44.96717526 -93.24725864,1
17-039012,2017-02-03T01:51:46Z,traffic,Black,Female,45.0157993 -93.28802615,4
17-039014,2017-02-03T01:53:16Z,traffic,Black,Male,44.94836 -93.27792,5
17-039022,2017-02-03T02:01:07Z,traffic,Other,Female,44.98215 -93.23994,2
17-039031,2017-02-03T02:10:27Z,suspicious,,,44.97081881 -93.24865948,1
17-039038,2017-02-03T02:16:09Z,traffic,Latino,Male,44.94474 -93.2797,5
17-039055,2017-02-03T02:30:10Z,suspicious,White,Male,44.94405545 -93.27663207,5
17-039059,2017-02-03T02:33:03Z,suspicious,Unknown,Unknown,44.94955167 -93.28134598,5
17-039064,2017-02-03T02:35:11Z,suspicious,Unknown,Unknown,44.95034101 -93.28363451,5
17-039101,2017-02-03T03:03:20Z,suspicious,White,Female,44.9784072 -93.27881908,1
17-039108,2017-02-03T03:08:07Z,traffic,East African,Male,44.96717526 -93.24725864,1
17-039113,2017-02-03T03:10:00Z,suspicious,Unknown,Unknown,44.94835457 -93.28218485,5
17-039117,2017-02-03T03:13:23Z,suspicious,,,44.97081881 -93.24865948,1
17-039118,2017-02-03T03:13:49Z,suspicious,Unknown,Unknown,44.95134737 -93.28133076,5
17-039125,2017-02-03T03:15:28Z,suspicious,Unknown,Unknown,44.89156817 -93.29087918,5
17-039128,2017-02-03T03:16:52Z,suspicious,,,44.99119224 -93.29819858,4
17-039151,2017-02-03T03:30:05Z,traffic,Black,Male,44.95912253 -93.28738913,5
17-039173,2017-02-03T03:43:41Z,traffic,East African,Male,44.89191021 -93.28066796,5
17-039196,2017-02-03T03:57:00Z,suspicious,,,44.9800647 -93.27188308,1
17-039207,2017-02-03T04:01:45Z,traffic,East African,Male,45.02393 -93.28654,4
17-039217,2017-02-03T04:09:59Z,suspicious,Black,Male,44.99742 -93.30695,4
17-039227,2017-02-03T04:17:00Z,suspicious,Unknown,Unknown,44.98793 -93.31721,4
17-039235,2017-02-03T04:20:39Z,traffic,,,44.97887707 -93.2352452,2
17-039238,2017-02-03T04:23:53Z,traffic,Native American,Female,44.94660031 -93.28053439,5
17-039246,2017-02-03T04:26:36Z,traffic,,,44.97366129 -93.22790293,2
17-039249,2017-02-03T04:27:09Z,suspicious,,,44.95376 -93.21653,3
17-039253,2017-02-03T04:32:31Z,traffic,,,44.97361866 -93.22199194,2
17-039258,2017-02-03T04:39:14Z,traffic,Unknown,Male,44.9483642 -93.29001302,5
17-039274,2017-02-03T04:49:46Z,traffic,Unknown,Unknown,44.94834 -93.27969,5
17-039277,2017-02-03T04:54:18Z,suspicious,Black,Male,44.89156817 -93.29087918,5
17-039278,2017-02-03T04:54:46Z,suspicious,Unknown,Unknown,44.89875659 -93.28447035,5
17-039280,2017-02-03T04:55:27Z,suspicious,Black,Female,45.00258 -93.28492,4
